Name,Team,Position,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,ReceivingYards,ReceivingTouchdowns,Receptions,FumblesLost,Tackles,Sacks,Interceptions,ForcedFumbles,DefensiveTouchdowns
C.Brown,CIN,RB,0.0,0.0,0.0,880.0,7.0,380.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Chase,CIN,WR,0.0,0.0,0.0,25.0,0.0,1650.0,17.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
J.Jefferson,MIN,WR,0.0,0.0,0.0,10.0,0.0,1450.0,10.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0
A.St. Brown,DET,WR,0.0,0.0,0.0,30.0,0.0,1250.0,11.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Lamb,DAL,WR,0.0,0.0,0.0,80.0,1.0,1200.0,6.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0
N.Collins,HOU,WR,0.0,0.0,0.0,0.0,0.0,1100.0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
M.Nabers,NYG,WR,0.0,0.0,0.0,20.0,0.0,1150.0,6.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0
B.Thomas Jr.,JAX,WR,0.0,0.0,0.0,30.0,0.0,1200.0,10.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
P.Nacua,LAR,WR,0.0,0.0,0.0,40.0,0.0,1000.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Brown,PHI,WR,0.0,0.0,0.0,0.0,0.0,1050.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
T.McLaurin,WAS,WR,0.0,0.0,0.0,10.0,0.0,1050.0,9.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Higgins,CIN,WR,0.0,0.0,0.0,0.0,0.0,900.0,8.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
Z.Flowers,BAL,WR,0.0,0.0,0.0,60.0,0.0,1000.0,4.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0
B.Bowers,LV,TE,0.0,0.0,0.0,10.0,0.0,1150.0,5.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
G.Kittle,SF,TE,0.0,0.0,0.0,0.0,0.0,980.0,8.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
T.McBride,ARI,TE,0.0,0.0,0.0,15.0,1.0,920.0,2.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0
T.Kelce,KC,TE,0.0,0.0,0.0,0.0,0.0,850.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
T.Watt,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14.5,1.0,5.0,0.0
F.Warner,SF,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,2.0,3.0,4.0,1.0
R.Smith,BAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,1.5,1.0,1.0,0.0
M.Garrett,CLE,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,0.0,3.0,0.0
T.Hendrickson,CIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,17.5,0.0,2.0,0.0
K.Hamilton,BAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,1.0,1.0,0.0
X.McKinney,GB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,7.0,1.0,0.0
Player_RB_1,TB,RB,0.0,0.0,0.0,552.9503190213695,1.0,256.69564411094984,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_2,BUF,TE,0.0,0.0,0.0,0.0,0.0,557.4933048833925,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_LB_3,NE,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.15153546751823,3.0,1.0,1.0,0.0
Player_QB_4,HOU,QB,1437.8395404668233,3.7350158289567954,13.329883331842865,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_5,WAS,RB,0.0,0.0,0.0,564.9000948041469,4.0,122.92368229619304,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_6,BAL,RB,0.0,0.0,0.0,779.9347699557419,7.0,174.09028912461727,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_QB_7,CIN,QB,3141.4456656658494,18.121803535327174,11.06728784372874,131.9867995403694,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_QB_8,LV,QB,964.249462860236,8.237464643046764,10.085379228895555,144.77410712658371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_9,ATL,RB,0.0,0.0,0.0,241.69937412836504,3.0,130.160869822484,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_10,ATL,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.854360714152556,2.0,0.0,1.0,0.0
Player_WR_11,DAL,WR,0.0,0.0,0.0,0.0,0.0,616.9986304466189,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_LB_12,LAC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34200551804004,1.0,2.0,1.0,0.0
Player_TE_13,NYG,TE,0.0,0.0,0.0,0.0,0.0,522.2241543259042,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_LB_14,MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.65873967712688,3.0,0.0,2.0,0.0
Player_WR_15,TEN,WR,0.0,0.0,0.0,0.0,0.0,518.5876133890372,3.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_16,TEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.61041881759596,2.0,1.0,0.0,0.0
Player_RB_17,ARI,RB,0.0,0.0,0.0,610.2420163608236,5.0,122.23979748587197,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_18,ARI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.05937851996379,2.0,0.0,2.0,0.0
Player_WR_19,PIT,WR,0.0,0.0,0.0,0.0,0.0,413.65347299019345,4.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DB_20,CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34705355859225,2.0,2.0,0.0,0.0
Player_LB_21,DEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.53836661026389,2.0,2.0,0.0,0.0
Player_QB_22,WAS,QB,2214.3998316559228,6.513226655867517,3.9312570252800514,70.08215188020068,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_QB_23,CIN,QB,2795.0628523582645,12.986367658295851,5.212559018252879,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_24,HOU,WR,0.0,0.0,0.0,0.0,0.0,528.7849057480486,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_25,DEN,QB,821.3225145638605,9.095491100114419,9.649357054438786,55.73654439022815,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_26,DAL,WR,0.0,0.0,0.0,0.0,0.0,328.89400310347605,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_27,IND,TE,0.0,0.0,0.0,0.0,0.0,259.2808170835742,4.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_QB_28,CLE,QB,2584.704797045065,7.843478059001161,8.38092607257232,123.48586747308467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_29,KC,TE,0.0,0.0,0.0,0.0,0.0,347.8665465190764,5.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_30,ATL,RB,0.0,0.0,0.0,644.4223969624927,3.0,72.43376956917923,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_31,PHI,RB,0.0,0.0,0.0,315.8212676599609,4.0,137.89223384621198,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_32,DEN,QB,3483.694780839387,12.575026969975896,6.555200018259848,117.58298946795904,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_33,PHI,RB,0.0,0.0,0.0,820.5749170689404,5.0,170.48133704190096,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_34,GB,TE,0.0,0.0,0.0,0.0,0.0,165.9921698131962,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DL_35,JAX,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.90035234445071,6.0,0.0,1.0,0.0
Player_TE_36,CIN,TE,0.0,0.0,0.0,0.0,0.0,329.66423148929357,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_37,NYG,WR,0.0,0.0,0.0,0.0,0.0,754.9589290563921,9.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_RB_38,SF,RB,0.0,0.0,0.0,1178.5038462501834,1.0,207.59417734096212,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_39,BUF,RB,0.0,0.0,0.0,461.4449063923062,3.0,186.15796180947962,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_40,GB,WR,0.0,0.0,0.0,0.0,0.0,1257.0807200073023,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_41,SF,WR,0.0,0.0,0.0,0.0,0.0,444.08722254185307,5.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DB_42,TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.29619974607199,2.0,0.0,0.0,0.0
Player_RB_43,DET,RB,0.0,0.0,0.0,376.11098267309944,3.0,183.48611153045917,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_44,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_45,LAC,WR,0.0,0.0,0.0,0.0,0.0,856.532447207976,1.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_46,BUF,RB,0.0,0.0,0.0,593.475449597992,3.0,92.38386796858164,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_47,DAL,QB,1426.0192864684361,15.611278049443321,11.342888515438716,134.7213378930018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_48,ATL,WR,0.0,0.0,0.0,0.0,0.0,751.1987826234599,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DB_49,GB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.85952081888287,2.0,2.0,0.0,0.0
Player_LB_50,JAX,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.8019328497254,3.0,0.0,1.0,0.0
Player_TE_51,KC,TE,0.0,0.0,0.0,0.0,0.0,660.0798509682857,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_52,DEN,QB,2701.377711427843,11.883486705512599,6.504376337586225,105.79194384643577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DL_53,TEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.23392823305255,2.0,0.0,0.0,0.0
Player_WR_54,SF,WR,0.0,0.0,0.0,0.0,0.0,679.511402635432,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_55,KC,RB,0.0,0.0,0.0,672.6757926858463,1.0,130.4436687944538,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_56,MIN,RB,0.0,0.0,0.0,504.15737023785357,3.0,11.365712819482127,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_57,WAS,RB,0.0,0.0,0.0,973.5880546911474,5.0,235.97181905866427,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_58,HOU,WR,0.0,0.0,0.0,0.0,0.0,789.835349051979,4.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_TE_59,KC,TE,0.0,0.0,0.0,0.0,0.0,490.1712196157973,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_60,CHI,QB,3094.10689433124,12.553433823200022,10.89397642295329,57.68399270895503,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DB_61,NO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91281670430232,3.0,2.0,3.0,0.0
Player_WR_62,CIN,WR,0.0,0.0,0.0,0.0,0.0,982.8344550705599,8.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DB_63,TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.95683049385129,4.0,2.0,0.0,0.0
Player_QB_64,SEA,QB,2779.419179747873,19.951581755314386,11.068353148289287,266.5045131467958,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_65,WAS,TE,0.0,0.0,0.0,0.0,0.0,472.8370820447682,5.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_TE_66,MIN,TE,0.0,0.0,0.0,0.0,0.0,633.6852224186083,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_67,CIN,TE,0.0,0.0,0.0,0.0,0.0,419.78553332056333,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_68,KC,WR,0.0,0.0,0.0,0.0,0.0,252.8303803229075,5.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_QB_69,PHI,QB,1891.835820988783,15.907096444649264,12.66486036129373,222.64859301209447,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_DB_70,KC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.816662028171606,2.0,0.0,1.0,0.0
Player_RB_71,DEN,RB,0.0,0.0,0.0,689.7886911001398,3.0,194.85242095278966,3.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_TE_72,KC,TE,0.0,0.0,0.0,0.0,0.0,611.7552706050544,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_73,GB,RB,0.0,0.0,0.0,1013.6302459791841,2.0,204.90753198677714,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_74,BAL,WR,0.0,0.0,0.0,0.0,0.0,679.4951184342339,4.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_QB_75,KC,QB,3137.280105047168,17.18521465383445,6.966125124978758,280.0575735135284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_76,DAL,WR,0.0,0.0,0.0,0.0,0.0,388.7602333945817,4.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_77,TB,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.80545385400774,3.0,1.0,0.0,0.0
Player_RB_78,NYG,RB,0.0,0.0,0.0,434.060721829653,6.0,88.27167710350865,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_DL_79,MIA,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.688250489267816,0.0,1.0,0.0,0.0
Player_TE_80,GB,TE,0.0,0.0,0.0,0.0,0.0,519.9804996188161,4.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_81,MIN,WR,0.0,0.0,0.0,0.0,0.0,348.43688496929946,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_TE_82,HOU,TE,0.0,0.0,0.0,0.0,0.0,29.840716600341352,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_83,CIN,QB,884.8101105001592,5.8080355370844075,16.19961017146428,165.85491662205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_84,DET,WR,0.0,0.0,0.0,0.0,0.0,612.1191480814672,3.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_QB_85,PIT,QB,1405.6502098854698,10.678267484498983,11.587571353279476,59.81054461459811,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_TE_86,ARI,TE,0.0,0.0,0.0,0.0,0.0,604.0896745981297,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_87,JAX,RB,0.0,0.0,0.0,310.5421352900643,5.0,309.1475861298464,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_88,PIT,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.27277122240046,1.0,0.0,0.0,0.0
Player_RB_89,DAL,RB,0.0,0.0,0.0,663.2790991840262,3.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_90,HOU,RB,0.0,0.0,0.0,621.4440195403522,7.0,172.45261809389274,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_91,KC,RB,0.0,0.0,0.0,733.095207916871,2.0,182.67123156529615,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_92,SEA,TE,0.0,0.0,0.0,0.0,0.0,267.2172833235437,4.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_93,PIT,WR,0.0,0.0,0.0,0.0,0.0,555.3220365203579,5.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_DL_94,DET,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.05293277491984,3.0,3.0,1.0,0.0
Player_RB_95,TB,RB,0.0,0.0,0.0,686.0975326810411,2.0,261.1753277966572,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
Player_WR_96,TB,WR,0.0,0.0,0.0,0.0,0.0,612.1835823797463,4.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_97,CAR,RB,0.0,0.0,0.0,809.1293533823246,4.0,219.34340086361158,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_98,CIN,WR,0.0,0.0,0.0,0.0,0.0,504.89375023924913,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_LB_99,NYJ,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33410678060729,1.0,0.0,1.0,0.0
Player_WR_100,LV,WR,0.0,0.0,0.0,0.0,0.0,759.1159943777939,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_101,DAL,QB,2500.1375008476043,1.4779953170689097,12.87300558084959,22.385380558918655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_102,WAS,RB,0.0,0.0,0.0,866.4596739715735,5.0,22.075481249793484,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_103,ARI,RB,0.0,0.0,0.0,241.89554364996076,3.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_104,DEN,WR,0.0,0.0,0.0,0.0,0.0,489.92092118876855,5.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_QB_105,DEN,QB,1363.799653662254,13.802324775936912,11.196527089320046,79.29969593907046,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_RB_106,BUF,RB,0.0,0.0,0.0,522.2614885757541,2.0,212.28662825996548,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_107,CAR,TE,0.0,0.0,0.0,0.0,0.0,563.3455439506845,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_TE_108,NE,TE,0.0,0.0,0.0,0.0,0.0,555.4990299627432,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_109,MIA,RB,0.0,0.0,0.0,788.0209180224085,4.0,168.40770998067143,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_110,NYJ,WR,0.0,0.0,0.0,0.0,0.0,742.8289631463466,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_111,LAC,RB,0.0,0.0,0.0,393.0103474487356,4.0,231.8373582615632,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_112,NYJ,WR,0.0,0.0,0.0,0.0,0.0,395.9336303543406,3.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0
Player_WR_113,IND,WR,0.0,0.0,0.0,0.0,0.0,755.0392479270108,4.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_114,CAR,WR,0.0,0.0,0.0,0.0,0.0,394.8223793692889,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_115,TEN,RB,0.0,0.0,0.0,757.1810947598635,2.0,170.26120795471627,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_RB_116,JAX,RB,0.0,0.0,0.0,1025.6869287344166,3.0,113.45846117527864,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_117,MIA,WR,0.0,0.0,0.0,0.0,0.0,1082.7933237189004,5.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_118,BAL,WR,0.0,0.0,0.0,0.0,0.0,824.2662452198581,4.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0
Player_WR_119,KC,WR,0.0,0.0,0.0,0.0,0.0,845.0369101283115,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
Player_WR_120,HOU,WR,0.0,0.0,0.0,0.0,0.0,441.6293102585278,9.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
